Game type,Attacker-model,Defender-model,Finetuning method,Details,Benchmark,FNAME
ta-td,trained_attacker_/data/tir/projects/tir7/user_data/athankar/redteaming/scripts/logs/multiturnsft_attacker_meta-llama/Meta-Llama-3.1-8B-Instruct_2024-08-10-16-56-06-894/checkpoint-135,trained_defender_/data/tir/projects/tir7/user_data/athankar/redteaming/scripts/logs/multiturnsft_defender_meta-llama/Meta-Llama-3.1-8B-Instruct_2024-08-13-13-12-19-314/checkpoint-406,SFT,,openai,/data/group_data/rl/datasets/redteaming/redteaming_game_evals/sft_trained_attacker_trained_defender_llama/06-18-1724753903/openai_sft_trained_attacker_trained_defender_llama.json
ta-td,trained_attacker_/data/tir/projects/tir7/user_data/athankar/redteaming/scripts/logs/multiturnsft_attacker_meta-llama/Meta-Llama-3.1-8B-Instruct_2024-08-10-16-56-06-894/checkpoint-135,trained_defender_/data/tir/projects/tir7/user_data/athankar/redteaming/scripts/logs/multiturnsft_defender_meta-llama/Meta-Llama-3.1-8B-Instruct_2024-08-13-13-12-19-314/checkpoint-406,SFT,,jailbreakbench,/data/group_data/rl/datasets/redteaming/redteaming_game_evals/sft_trained_attacker_trained_defender_llama/06-30-1724754641/jailbreakbench_sft_trained_attacker_trained_defender_llama.json
ta-td,rwr_trained_attacker_/data/group_data/rl/experiments/redteaming/multiturn_rwr_attacker_meta-llama/Meta-Llama-3.1-8B-Instruct_2024-08-23-13-23-23-840/checkpoint-183,rwr_trained_defender_/data/group_data/rl/experiments/redteaming/multiturn_rwr_defender_meta-llama/Meta-Llama-3.1-8B-Instruct_2024-08-23-18-47-22-373/checkpoint-12,RWR,,openai,/data/group_data/rl/datasets/redteaming/redteaming_game_evals/rwr_trained_attacker_trained_defender_llama/22-27-1724725627/openai_rwr_trained_attacker_trained_defender_llama.json
ta-td,rwr_trained_attacker_/data/group_data/rl/experiments/redteaming/multiturn_rwr_attacker_meta-llama/Meta-Llama-3.1-8B-Instruct_2024-08-23-13-23-23-840/checkpoint-183,rwr_trained_defender_/data/group_data/rl/experiments/redteaming/multiturn_rwr_defender_meta-llama/Meta-Llama-3.1-8B-Instruct_2024-08-23-18-47-22-373/checkpoint-12,RWR,,jailbreakbench,/data/group_data/rl/datasets/redteaming/redteaming_game_evals/rwr_trained_attacker_trained_defender_llama/20-35-1724718923/jailbreakbench_rwr_trained_attacker_trained_defender_llama.json
ta-td,rwr_trained_attacker_/data/tir/projects/tir7/user_data/athankar/redteaming/scripts/logs/multiturn_rwr_attacker_mistralai/Mistral-7B-Instruct-v0.1_2024-08-19-17-16-11-631/checkpoint-366,rwr_trained_defender_/data/group_data/rl/experiments/redteaming/multiturn_rwr_defender_mistralai/Mistral-7B-Instruct-v0.1_2024-08-23-11-07-11-756/checkpoint-6,RWR,,openai,/data/group_data/rl/datasets/redteaming/redteaming_game_evals/rwr_trained_attacker_trained_defender_mistral/22-19-1724725160/openai_rwr_trained_attacker_trained_defender_mistral.json
ta-td,rwr_trained_attacker_/data/tir/projects/tir7/user_data/athankar/redteaming/scripts/logs/multiturn_rwr_attacker_mistralai/Mistral-7B-Instruct-v0.1_2024-08-19-17-16-11-631/checkpoint-366,rwr_trained_defender_/data/group_data/rl/experiments/redteaming/multiturn_rwr_defender_mistralai/Mistral-7B-Instruct-v0.1_2024-08-23-11-07-11-756/checkpoint-6,RWR,,jailbreakbench,/data/group_data/rl/datasets/redteaming/redteaming_game_evals/rwr_trained_attacker_trained_defender_mistral/00-34-1724733261/jailbreakbench_rwr_trained_attacker_trained_defender_mistral.json
,,,,,,
ta-td,rwr_trained_attacker_/data/group_data/rl/experiments/redteaming/multiturn_rwr_attacker_meta-llama/Meta-Llama-3.1-8B-Instruct_2024-08-23-13-23-23-840/checkpoint-183,trained_rwr_defender_/data/group_data/rl/experiments/redteaming/multiturn_rwr_defender_meta-llama/Meta-Llama-3.1-8B-Instruct_2024-09-01-16-28-00-706/checkpoint-16,RWR,Longer context LR: 1e-5,openai,/data/group_data/rl/datasets/redteaming/redteaming_game_evals/rwr_longer_ctx_def_trained_attacker_trained_defender_llama/23-10-1725246606/openai_rwr_longer_ctx_def_trained_attacker_trained_defender_llama.json
ta-td,rwr_trained_attacker_/data/group_data/rl/experiments/redteaming/multiturn_rwr_attacker_meta-llama/Meta-Llama-3.1-8B-Instruct_2024-08-23-13-23-23-840/checkpoint-183,trained_rwr_defender_/data/group_data/rl/experiments/redteaming/multiturn_rwr_defender_meta-llama/Meta-Llama-3.1-8B-Instruct_2024-09-01-16-28-00-706/checkpoint-16,RWR,Longer context LR: 1e-5,jailbreakbench,/data/group_data/rl/datasets/redteaming/redteaming_game_evals/rwr_longer_ctx_def_trained_attacker_trained_defender_llama/23-14-1725246882/jailbreakbench_rwr_longer_ctx_def_trained_attacker_trained_defender_llama.json
ta-td,rwr_trained_attacker_/data/group_data/rl/experiments/redteaming/multiturn_rwr_attacker_meta-llama/Meta-Llama-3.1-8B-Instruct_2024-08-23-13-23-23-840/checkpoint-183,trained_rwr_defender_/data/group_data/rl/experiments/redteaming/multiturn_rwr_defender_meta-llama/Meta-Llama-3.1-8B-Instruct_2024-09-01-17-11-28-516/checkpoint-16,RWR,Longer context 5e-6,openai,/data/group_data/rl/datasets/redteaming/redteaming_game_evals/rwr_longer_ctx_5e-6_trained_attacker_trained_defender_llama/00-00-1725249630/openai_rwr_longer_ctx_5e-6_trained_attacker_trained_defender_llama.json
ta-td,rwr_trained_attacker_/data/group_data/rl/experiments/redteaming/multiturn_rwr_attacker_meta-llama/Meta-Llama-3.1-8B-Instruct_2024-08-23-13-23-23-840/checkpoint-183,trained_rwr_defender_/data/group_data/rl/experiments/redteaming/multiturn_rwr_defender_meta-llama/Meta-Llama-3.1-8B-Instruct_2024-09-01-17-11-28-516/checkpoint-16,RWR,Longer context 5e-6,jailbreakbench,/data/group_data/rl/datasets/redteaming/redteaming_game_evals/rwr_longer_ctx_5e-6_trained_attacker_trained_defender_llama/00-07-1725250074/jailbreakbench_rwr_longer_ctx_5e-6_trained_attacker_trained_defender_llama.json
ta-td,rwr_trained_attacker_/data/group_data/rl/experiments/redteaming/multiturn_rwr_attacker_meta-llama/Meta-Llama-3.1-8B-Instruct_2024-08-23-13-23-23-840/checkpoint-183,rwr_trained_defender_/data/group_data/rl/experiments/redteaming/multiturn_rwr_defender_meta-llama/Meta-Llama-3.1-8B-Instruct_2024-09-01-16-50-37-588/checkpoint-16,RWR,Longer context 1e-6,openai,/data/group_data/rl/datasets/redteaming/redteaming_game_evals/rwr_longer_ctx_1e-6_trained_attacker_trained_defender_llama/07-19-1725275993/openai_rwr_longer_ctx_1e-6_trained_attacker_trained_defender_llama.json
ta-td,rwr_trained_attacker_/data/group_data/rl/experiments/redteaming/multiturn_rwr_attacker_meta-llama/Meta-Llama-3.1-8B-Instruct_2024-08-23-13-23-23-840/checkpoint-183,rwr_trained_defender_/data/group_data/rl/experiments/redteaming/multiturn_rwr_defender_meta-llama/Meta-Llama-3.1-8B-Instruct_2024-09-01-16-50-37-588/checkpoint-16,RWR,Longer context 1e-6,jailbreakbench,/data/group_data/rl/datasets/redteaming/redteaming_game_evals/rwr_longer_ctx_1e-6_trained_attacker_trained_defender_llama/07-32-1725276727/jailbreakbench_rwr_longer_ctx_1e-6_trained_attacker_trained_defender_llama.json
